input_word	output_word	pos_tag	score
ime	IME	NOUN	1500
input	input	NOUN	1500
inputmethod	inputmethod	NOUN	1600
keyboard	keyboard	NOUN	1500
key	key	NOUN	1600
keys	keys	NOUN	1700
layout	layout	NOUN	1700
prediction	prediction	NOUN	1700
suggestion	suggestion	NOUN	1700
candidate	candidate	NOUN	1700
conversion	conversion	NOUN	1800
preedit	preedit	NOUN	2000
composing	composing	VERB	1900
flick	flick	NOUN	1900
qwerty	QWERTY	NOUN	1800
romaji	romaji	NOUN	1800
kana	kana	NOUN	1800
kanji	kanji	NOUN	1800
hiragana	hiragana	NOUN	1800
katakana	katakana	NOUN	1800
emoji	emoji	NOUN	1600
clipboard	clipboard	NOUN	1700
autocorrect	autocorrect	NOUN	1800
dictionary	dictionary	NOUN	1700
typing	typing	NOUN	1600
space	space	NOUN	1800
enter	enter	VERB	1800
backspace	backspace	NOUN	1800
