input_word	output_word	pos_tag	score
because	because	SCONJ	800
the	the	DET	700
a	a	DET	700
an	an	DET	700
and	and	CCONJ	750
or	or	CCONJ	800
but	but	CCONJ	800
if	if	SCONJ	850
when	when	SCONJ	900
while	while	SCONJ	1000
although	although	SCONJ	1200
though	though	SCONJ	1200
unless	unless	SCONJ	1200
of	of	ADP	700
to	to	ADP	700
in	in	ADP	750
on	on	ADP	800
at	at	ADP	800
for	for	ADP	800
from	from	ADP	900
with	with	ADP	900
without	without	ADP	1200
by	by	ADP	900
as	as	ADP	900
into	into	ADP	1000
over	over	ADP	1000
under	under	ADP	1000
between	between	ADP	1200
through	through	ADP	1200
during	during	ADP	1200
before	before	ADP	1100
after	after	ADP	1100
above	above	ADP	1300
below	below	ADP	1300
is	is	AUX	700
are	are	AUX	750
was	was	AUX	800
were	were	AUX	800
be	be	AUX	850
been	been	AUX	950
being	being	AUX	1100
am	am	AUX	850
have	have	VERB	850
has	has	VERB	850
had	had	VERB	900
do	do	VERB	900
does	does	VERB	950
did	did	VERB	950
can	can	AUX	850
could	could	AUX	1000
will	will	AUX	850
would	would	AUX	950
shall	shall	AUX	1200
should	should	AUX	1000
may	may	AUX	1000
might	might	AUX	1100
must	must	AUX	1000
i	I	PRON	700
you	you	PRON	700
he	he	PRON	800
she	she	PRON	800
it	it	PRON	800
we	we	PRON	800
they	they	PRON	800
me	me	PRON	900
him	him	PRON	950
her	her	PRON	900
us	us	PRON	950
them	them	PRON	950
my	my	PRON	900
your	your	PRON	900
his	his	PRON	900
its	its	PRON	1000
our	our	PRON	950
their	their	PRON	950
mine	mine	PRON	1100
yours	yours	PRON	1100
ours	ours	PRON	1200
theirs	theirs	PRON	1200
this	this	DET	800
that	that	DET	800
these	these	DET	950
those	those	DET	950
there	there	ADV	850
here	here	ADV	850
who	who	PRON	950
what	what	PRON	850
where	where	ADV	950
why	why	ADV	950
how	how	ADV	900
which	which	DET	950
whose	whose	DET	1200
whom	whom	PRON	1400
not	not	PART	800
no	no	INTJ	850
yes	yes	INTJ	850
about	about	ADP	900
again	again	ADV	1000
very	very	ADV	950
really	really	ADV	1000
just	just	ADV	900
also	also	ADV	950
only	only	ADV	950
even	even	ADV	1000
still	still	ADV	1000
already	already	ADV	1100
always	always	ADV	1000
often	often	ADV	1100
sometimes	sometimes	ADV	1200
never	never	ADV	1000
