input_word	output_word	pos_tag	score
app	app	NOUN	1500
account	account	NOUN	1500
login	login	NOUN	1500
logout	logout	NOUN	1800
signup	signup	NOUN	1700
signin	signin	NOUN	1700
settings	settings	NOUN	1500
profile	profile	NOUN	1600
notification	notification	NOUN	1700
message	message	NOUN	1500
browser	browser	NOUN	1600
download	download	VERB	1600
upload	upload	VERB	1600
search	search	VERB	1500
share	share	VERB	1500
copy	copy	VERB	1500
paste	paste	VERB	1500
save	save	VERB	1500
edit	edit	VERB	1600
delete	delete	VERB	1600
update	update	VERB	1500
install	install	VERB	1700
uninstall	uninstall	VERB	1900
website	website	NOUN	1600
email	email	NOUN	1500
password	password	NOUN	1500
username	username	NOUN	1600
file	file	NOUN	1600
folder	folder	NOUN	1700
link	link	NOUN	1700
menu	menu	NOUN	1700
tab	tab	NOUN	1800
window	window	NOUN	1800
sync	sync	VERB	1800
backup	backup	NOUN	1800
restore	restore	VERB	1900
