input_word	output_word	pos_tag	score
im	I'm	PRON_AUX	900
dont	don't	AUX_NEG	900
cant	can't	AUX_NEG	900
wont	won't	AUX_NEG	950
youre	you're	PRON_AUX	900
theyre	they're	PRON_AUX	950
were	we're	PRON_AUX	950
ive	I've	PRON_AUX	950
youve	you've	PRON_AUX	1000
weve	we've	PRON_AUX	1000
theyve	they've	PRON_AUX	1000
ill	I'll	PRON_AUX	950
youll	you'll	PRON_AUX	1000
hell	he'll	PRON_AUX	1100
shell	she'll	PRON_AUX	1100
well	we'll	PRON_AUX	1000
theyll	they'll	PRON_AUX	1100
id	I'd	PRON_AUX	1000
youd	you'd	PRON_AUX	1100
hed	he'd	PRON_AUX	1200
shed	she'd	PRON_AUX	1200
wed	we'd	PRON_AUX	1100
theyd	they'd	PRON_AUX	1200
thats	that's	PRON_AUX	950
whats	what's	PRON_AUX	950
heres	here's	ADV_AUX	1100
theres	there's	ADV_AUX	1000
lets	let's	VERB	950
doesnt	doesn't	AUX_NEG	950
didnt	didn't	AUX_NEG	950
isnt	isn't	AUX_NEG	950
arent	aren't	AUX_NEG	950
wasnt	wasn't	AUX_NEG	1000
werent	weren't	AUX_NEG	1000
hasnt	hasn't	AUX_NEG	1000
havent	haven't	AUX_NEG	1000
hadnt	hadn't	AUX_NEG	1100
shouldnt	shouldn't	AUX_NEG	1000
wouldnt	wouldn't	AUX_NEG	1000
couldnt	couldn't	AUX_NEG	1000
mustnt	mustn't	AUX_NEG	1200
