lemma	pos_tag	base_score
work	VERB	1800
play	VERB	1800
open	VERB	1700
close	VERB	1700
update	VERB	1700
install	VERB	1800
download	VERB	1700
upload	VERB	1700
search	VERB	1700
share	VERB	1700
copy	VERB	1700
paste	VERB	1700
save	VERB	1700
edit	VERB	1800
delete	VERB	1800
use	VERB	1700
type	VERB	1800
swipe	VERB	1800
compose	VERB	1800
convert	VERB	1900
commit	VERB	1900
merge	VERB	1800
release	VERB	1800
request	VERB	1800
app	NOUN	1700
account	NOUN	1700
message	NOUN	1700
browser	NOUN	1800
screen	NOUN	1700
key	NOUN	1700
candidate	NOUN	1800
suggestion	NOUN	1800
emoji	NOUN	1700
branch	NOUN	1800
issue	NOUN	1800
workflow	NOUN	1800
database	NOUN	1800
simple	ADJ	1900
quick	ADJ	1900
fast	ADJ	1900
small	ADJ	1900
large	ADJ	1900
slow	ADJ	2000
