lemma	form	pos_tag	inflection_type	score
be	am	VERB	irregular_present	1100
be	is	VERB	irregular_present	1000
be	are	VERB	irregular_present	1000
be	was	VERB	irregular_past	1100
be	were	VERB	irregular_past	1100
be	been	VERB	irregular_participle	1200
have	has	VERB	irregular_present	1200
have	had	VERB	irregular_past	1200
do	does	VERB	irregular_present	1200
do	did	VERB	irregular_past	1200
go	goes	VERB	irregular_present	1500
go	went	VERB	irregular_past	1500
make	makes	VERB	irregular_present	1500
make	made	VERB	irregular_past	1500
take	takes	VERB	irregular_present	1600
take	took	VERB	irregular_past	1600
write	writes	VERB	irregular_present	1700
write	wrote	VERB	irregular_past	1700
run	runs	VERB	irregular_present	1700
run	ran	VERB	irregular_past	1700
copy	copies	VERB	irregular_present	1900
copy	copied	VERB	irregular_past	1900
tap	taps	VERB	irregular_present	1900
tap	tapped	VERB	irregular_past	1900
commit	commits	VERB	irregular_present	2100
commit	committed	VERB	irregular_past	2100
commit	committing	VERB	irregular_participle	2100
