input_word	output_word	pos_tag	score
android	Android	PROPN	1500
ios	iOS	PROPN	1500
iphone	iPhone	PROPN	1500
pixel	Pixel	PROPN	1700
tablet	tablet	NOUN	1700
phone	phone	NOUN	1500
smartphone	smartphone	NOUN	1700
keyboard	keyboard	NOUN	1500
screen	screen	NOUN	1500
touch	touch	VERB	1600
swipe	swipe	VERB	1600
tap	tap	VERB	1600
gesture	gesture	NOUN	1800
shortcut	shortcut	NOUN	1700
permission	permission	NOUN	1800
battery	battery	NOUN	1700
storage	storage	NOUN	1700
camera	camera	NOUN	1700
microphone	microphone	NOUN	1800
bluetooth	Bluetooth	PROPN	1800
wifi	Wi-Fi	NOUN	1800
cellular	cellular	ADJ	1900
device	device	NOUN	1600
launcher	launcher	NOUN	1900
widget	widget	NOUN	1900
notification	notification	NOUN	1700
vibration	vibration	NOUN	2000
rotation	rotation	NOUN	2000
brightness	brightness	NOUN	1900
