input_phrase	output_phrase	pos_tag	score
thankyou	thank you	PHRASE	1200
letmeknow	let me know	PHRASE	1300
howareyou	how are you	PHRASE	1200
goodmorning	good morning	PHRASE	1200
goodnight	good night	PHRASE	1200
seeyou	see you	PHRASE	1400
seeyoulater	see you later	PHRASE	1600
talktoyou	talk to you	PHRASE	1600
ofcourse	of course	PHRASE	1400
rightnow	right now	PHRASE	1400
aswell	as well	PHRASE	1500
atleast	at least	PHRASE	1500
bytheway	by the way	PHRASE	1500
inprogress	in progress	PHRASE	1600
inadvance	in advance	PHRASE	1700
nospace	no space	PHRASE	1800
