input_word	output_word	pos_tag	score
android	Android	PROPN	1500
ios	iOS	PROPN	1500
iphone	iPhone	PROPN	1500
pixel	Pixel	PROPN	1700
google	Google	PROPN	1500
github	GitHub	PROPN	1500
openai	OpenAI	PROPN	1500
chatgpt	ChatGPT	PROPN	1500
autocad	AutoCAD	PROPN	1600
kotlin	Kotlin	PROPN	1600
java	Java	PROPN	1600
javascript	JavaScript	PROPN	1600
typescript	TypeScript	PROPN	1600
python	Python	PROPN	1600
react	React	PROPN	1600
nextjs	Next.js	PROPN	1600
supabase	Supabase	PROPN	1600
gradle	Gradle	PROPN	1800
bluetooth	Bluetooth	PROPN	1800
