input_word	output_word	pos_tag	score
color	color	NOUN	1800
colour	colour	NOUN	1800
favorite	favorite	ADJ	1800
favourite	favourite	ADJ	1800
center	center	NOUN	1800
centre	centre	NOUN	1800
theater	theater	NOUN	1900
theatre	theatre	NOUN	1900
organize	organize	VERB	1900
organise	organise	VERB	1900
realize	realize	VERB	1900
realise	realise	VERB	1900
traveling	traveling	VERB	1900
travelling	travelling	VERB	1900
canceled	canceled	VERB	1900
cancelled	cancelled	VERB	1900
license	license	NOUN	1900
licence	licence	NOUN	1900
defense	defense	NOUN	1900
defence	defence	NOUN	1900
gray	gray	ADJ	1900
grey	grey	ADJ	1900
neighbor	neighbor	NOUN	1900
neighbour	neighbour	NOUN	1900
behavior	behavior	NOUN	1900
behaviour	behaviour	NOUN	1900
honor	honor	NOUN	1900
honour	honour	NOUN	1900
labor	labor	NOUN	1900
labour	labour	NOUN	1900
meter	meter	NOUN	1900
metre	metre	NOUN	1900
check	check	NOUN	1900
cheque	cheque	NOUN	1900
