input_word	output_word	pos_tag	score
app	app	NOUN	1700
apps	apps	NOUN	1700
email	email	NOUN	1700
internet	internet	NOUN	1700
website	website	NOUN	1700
browser	browser	NOUN	1700
password	password	NOUN	1600
username	username	NOUN	1700
login	login	NOUN	1700
logout	logout	NOUN	1900
account	account	NOUN	1700
profile	profile	NOUN	1800
message	message	NOUN	1700
notification	notification	NOUN	1900
settings	settings	NOUN	1700
download	download	VERB	1800
upload	upload	VERB	1800
file	file	NOUN	1700
folder	folder	NOUN	1800
photo	photo	NOUN	1800
video	video	NOUN	1800
image	image	NOUN	1800
link	link	NOUN	1800
code	code	NOUN	1800
data	data	NOUN	1700
server	server	NOUN	1800
client	client	NOUN	1800
android	Android	PROPN	1500
iphone	iPhone	PROPN	1500
ios	iOS	PROPN	1500
google	Google	PROPN	1500
github	GitHub	PROPN	1500
openai	OpenAI	PROPN	1500
chatgpt	ChatGPT	PROPN	1500
kotlin	Kotlin	PROPN	1600
javascript	JavaScript	PROPN	1600
typescript	TypeScript	PROPN	1600
python	Python	PROPN	1600
react	React	PROPN	1600
nextjs	Next.js	PROPN	1600
supabase	Supabase	PROPN	1600
autocad	AutoCAD	PROPN	1600
